rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
4262	RGL3	ral guanine nucleotide dissociation stimulator-like 3	490393	1	0	0	0	0	1	0.29	1.00
4263	MPP6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	556124	1	0	1	0	0	0	0.29	1.00
4264	SNX16	sorting nexin 16	338180	1	0	0	1	0	0	0.29	1.00
4265	C15orf57		204812	1	0	0	1	0	0	0.29	1.00
4266	SIGLEC9	sialic acid binding Ig-like lectin 9	441095	1	0	0	0	0	1	0.29	1.00
4267	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	957317	2	0	1	1	0	0	0.29	1.00
4268	KIAA1377	KIAA1377	1058630	1	1	0	0	0	0	0.29	1.00
4269	SHOC2	soc-2 suppressor of clear homolog (C. elegans)	570256	1	0	1	0	0	0	0.29	1.00
4270	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	247050	1	1	0	0	0	0	0.29	1.00
4271	ZNF581	zinc finger protein 581	168645	1	0	0	1	0	0	0.29	1.00
4272	NR2F2	nuclear receptor subfamily 2, group F, member 2	318926	1	0	0	0	1	0	0.29	1.00
4273	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	406030	1	0	1	0	0	0	0.29	1.00
4274	FANCI	Fanconi anemia, complementation group I	1317897	2	1	0	0	1	0	0.29	1.00
4275	MEGF10	multiple EGF-like-domains 10	1151206	3	0	0	2	0	1	0.29	1.00
4276	SLC25A46	solute carrier family 25, member 46	318534	1	0	0	1	0	0	0.29	1.00
4277	DARS	aspartyl-tRNA synthetase	513070	1	0	1	0	0	0	0.29	1.00
4278	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	408632	1	0	1	0	0	0	0.29	1.00
4279	DISP2	dispatched homolog 2 (Drosophila)	833645	2	1	0	0	1	0	0.29	1.00
4280	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	516673	1	0	0	0	0	1	0.29	1.00
4281	ZNF681	zinc finger protein 681	514661	1	0	0	0	0	1	0.29	1.00
4282	ADAMTSL4	ADAMTS-like 4	779788	2	1	0	0	1	0	0.29	1.00
4283	SPZ1	spermatogenic leucine zipper 1	338727	1	0	0	1	0	0	0.29	1.00
4284	CCDC57	coiled-coil domain containing 57	573895	2	0	0	1	1	0	0.29	1.00
4285	MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1	802968	2	0	1	0	1	0	0.29	1.00
4286	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	658406	2	0	0	2	0	0	0.29	1.00
4287	CAT	catalase	542756	1	1	0	0	0	0	0.29	1.00
4288	BZW2	basic leucine zipper and W2 domains 2	417503	1	0	0	0	0	1	0.29	1.00
4289	ZDHHC9	zinc finger, DHHC-type containing 9	385988	1	0	1	0	0	0	0.29	1.00
4290	PCDHB14	protocadherin beta 14	569324	2	0	0	1	1	0	0.29	1.00
4291	TET1	tet oncogene 1	2154762	5	1	1	2	1	0	0.29	1.00
4292	FBXO16	F-box protein 16	300043	1	0	0	0	1	0	0.29	1.00
4293	CTCFL	CCCTC-binding factor (zinc finger protein)-like	599321	2	0	0	1	1	0	0.29	1.00
4294	OR4X1	olfactory receptor, family 4, subfamily X, member 1	311746	1	0	0	0	1	0	0.29	1.00
4295	SFRP2	secreted frizzled-related protein 2	248164	1	1	0	0	0	0	0.29	1.00
4296	LRFN1	leucine rich repeat and fibronectin type III domain containing 1	310709	1	0	0	0	1	0	0.29	1.00
4297	ZBTB33	zinc finger and BTB domain containing 33	637358	2	0	0	1	1	0	0.29	1.00
4298	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	605466	2	0	0	1	1	0	0.29	1.00
4299	OPCML	opioid binding protein/cell adhesion molecule-like	375407	1	0	1	0	0	0	0.29	1.00
4300	CD80	CD80 molecule	305190	1	0	0	0	1	0	0.29	1.00
4301	FNTA	farnesyltransferase, CAAX box, alpha	317513	1	0	0	1	0	0	0.29	1.00
4302	OR5M9	olfactory receptor, family 5, subfamily M, member 9	299616	1	0	0	0	1	0	0.29	1.00
4303	EPX	eosinophil peroxidase	717452	2	0	0	1	0	1	0.29	1.00
4304	IL18RAP	interleukin 18 receptor accessory protein	613348	2	0	0	1	1	0	0.29	1.00
4305	P2RX5	purinergic receptor P2X, ligand-gated ion channel, 5	261546	1	0	0	0	1	0	0.29	1.00
4306	OR8B12	olfactory receptor, family 8, subfamily B, member 12	307863	1	0	0	0	1	0	0.29	1.00
4307	UNG	uracil-DNA glycosylase	278082	1	0	0	0	1	0	0.29	1.00
4308	COMMD9	COMM domain containing 9	194773	1	0	0	1	0	0	0.29	1.00
4309	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	725249	1	1	0	0	0	0	0.29	1.00
4310	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	1251692	4	1	0	1	1	1	0.29	1.00
4311	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	419313	1	0	1	0	0	0	0.29	1.00
4312	ONECUT1	one cut homeobox 1	329507	1	0	0	0	1	0	0.29	1.00
4313	BAK1	BCL2-antagonist/killer 1	181044	1	0	0	1	0	0	0.29	1.00
4314	C19orf2	chromosome 19 open reading frame 2	508647	1	0	1	0	0	0	0.29	1.00
4315	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	1133477	3	0	1	1	1	0	0.29	1.00
4316	HERC1	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	4259737	3	0	1	0	0	2	0.29	1.00
4317	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	610371	2	0	0	1	1	0	0.29	1.00
4318	OR2S2	olfactory receptor, family 2, subfamily S, member 2	309273	1	0	0	0	1	0	0.29	1.00
4319	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	360089	1	1	0	0	0	0	0.29	1.00
4320	THBS3	thrombospondin 3	918377	3	0	0	2	1	0	0.29	1.00
4321	IRGQ	immunity-related GTPase family, Q	320162	1	0	0	0	1	0	0.29	1.00
4322	CSRP2	cysteine and glycine-rich protein 2	202744	1	0	0	1	0	0	0.29	1.00
4323	SNX25	sorting nexin 25	836666	2	0	0	1	0	1	0.29	1.00
4324	DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	1028924	3	0	1	2	0	0	0.29	1.00
4325	SSBP3	single stranded DNA binding protein 3	265085	1	0	0	0	1	0	0.29	1.00
4326	GLP2R	glucagon-like peptide 2 receptor	542408	1	1	0	0	0	0	0.29	1.00
4327	USP29	ubiquitin specific peptidase 29	861644	2	0	0	1	0	1	0.29	1.00
4328	TMEM59L	transmembrane protein 59-like	184963	1	0	0	1	0	0	0.29	1.00
4329	CELA2A		263949	1	0	0	0	1	0	0.29	1.00
4330	GJA5	gap junction protein, alpha 5, 40kDa	362323	1	0	1	0	0	0	0.29	1.00
4331	GOLPH3L	golgi phosphoprotein 3-like	296995	1	0	0	0	1	0	0.29	1.00
4332	NAA10		185093	1	0	0	1	0	0	0.29	1.00
4333	ZNF493	zinc finger protein 493	708920	2	0	0	1	1	0	0.29	1.00
4334	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)	279840	1	0	0	0	1	0	0.29	1.00
4335	OR2T6	olfactory receptor, family 2, subfamily T, member 6	305953	1	0	0	0	1	0	0.29	1.00
4336	FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	247694	1	1	0	0	0	0	0.29	1.00
4337	GPRC5A	G protein-coupled receptor, family C, group 5, member A	375035	1	0	1	0	0	0	0.29	1.00
4338	RAB15	RAB15, member RAS onocogene family	188869	1	0	0	1	0	0	0.29	1.00
4339	SPERT	spermatid associated	263117	1	0	0	0	1	0	0.29	1.00
4340	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	420072	1	0	0	0	0	1	0.29	1.00
4341	PALM2-AKAP2	PALM2-AKAP2	1079882	3	0	1	2	0	0	0.29	1.00
4342	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	330068	1	0	0	0	1	0	0.30	1.00
4343	OR4S1	olfactory receptor, family 4, subfamily S, member 1	317095	1	0	0	0	1	0	0.30	1.00
4344	ELOVL4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	311316	1	0	0	1	0	0	0.30	1.00
4345	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	749050	2	0	1	1	0	0	0.30	1.00
4346	RAVER1	ribonucleoprotein, PTB-binding 1	243347	1	1	0	0	0	0	0.30	1.00
4347	KIAA1217	KIAA1217	1975472	4	0	2	2	0	0	0.30	1.00
4348	SILV	silver homolog (mouse)	660934	2	0	0	2	0	0	0.30	1.00
4349	CAPN12	calpain 12	252633	1	1	0	0	0	0	0.30	1.00
4350	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	600063	1	1	0	0	0	0	0.30	1.00
4351	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	816660	2	0	0	1	0	1	0.30	1.00
4352	FOXA3	forkhead box A3	274375	1	1	0	0	0	0	0.30	1.00
4353	MKL2	MKL/myocardin-like 2	1080068	3	0	0	1	1	1	0.30	1.00
4354	E2F2	E2F transcription factor 2	354911	1	1	0	0	0	0	0.30	1.00
4355	OR10A4	olfactory receptor, family 10, subfamily A, member 4	323800	1	0	0	0	1	0	0.30	1.00
4356	IRX6	iroquois homeobox 6	332208	1	0	0	0	1	0	0.30	1.00
4357	POLA1	polymerase (DNA directed), alpha 1	1476360	2	1	0	0	0	1	0.30	1.00
4358	COL11A2	collagen, type XI, alpha 2	1576118	4	0	1	1	2	0	0.30	1.00
4359	SEC22A	SEC22 vesicle trafficking protein homolog A (S. cerevisiae)	320031	1	0	0	1	0	0	0.30	1.00
4360	BIRC6	baculoviral IAP repeat-containing 6 (apollon)	4180499	6	1	1	2	0	2	0.30	1.00
4361	VSIG4	V-set and immunoglobulin domain containing 4	416520	1	0	1	0	0	0	0.30	1.00
4362	GINS1	GINS complex subunit 1 (Psf1 homolog)	205193	1	0	0	1	0	0	0.30	1.00
4363	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	730091	2	0	0	1	0	1	0.30	1.00
4364	CSF1	colony stimulating factor 1 (macrophage)	547584	1	1	0	0	0	0	0.30	1.00
4365	BBS5	Bardet-Biedl syndrome 5	329331	1	0	0	1	0	0	0.30	1.00
4366	PROX2	prospero homeobox 2	511490	1	0	0	0	0	1	0.30	1.00
4367	SRRM1	serine/arginine repetitive matrix 1	849344	2	0	0	0	1	1	0.30	1.00
4368	GJD2	gap junction protein, delta 2, 36kDa	298248	1	0	0	0	1	0	0.30	1.00
4369	OR2M5	olfactory receptor, family 2, subfamily M, member 5	317472	1	0	0	0	1	0	0.30	1.00
4370	CDKL4	cyclin-dependent kinase-like 4	330814	1	0	0	1	0	0	0.30	1.00
4371	GRIA4	glutamate receptor, ionotrophic, AMPA 4	1018309	3	0	0	2	1	0	0.30	1.00
4372	RAD54L2	RAD54-like 2 (S. cerevisiae)	1334632	4	1	0	2	1	0	0.30	1.00
4373	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	669761	2	1	0	1	0	0	0.30	1.00
4374	ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)	179882	1	0	0	1	0	0	0.30	1.00
4375	VSNL1	visinin-like 1	206676	1	0	0	1	0	0	0.30	1.00
4376	ZDBF2	zinc finger, DBF-type containing 2	1917073	3	1	0	0	1	1	0.30	1.00
4377	FBXW11	F-box and WD repeat domain containing 11	573456	1	1	0	0	0	0	0.30	1.00
4378	CHMP4B	chromatin modifying protein 4B	190136	1	0	0	1	0	0	0.30	1.00
4379	PSG3	pregnancy specific beta-1-glycoprotein 3	423536	1	0	1	0	0	0	0.30	1.00
4380	C1orf158	chromosome 1 open reading frame 158	204299	1	0	0	1	0	0	0.30	1.00
4381	STAR	steroidogenic acute regulatory protein	283524	1	0	0	0	1	0	0.30	1.00
4382	RBM12	RNA binding motif protein 12	876544	2	0	1	0	1	0	0.30	1.00
4383	WDR75	WD repeat domain 75	845325	2	0	0	2	0	0	0.30	1.00
4384	ZFP42	zinc finger protein 42 homolog (mouse)	285199	1	0	0	0	1	0	0.30	1.00
4385	C21orf33	chromosome 21 open reading frame 33	175792	1	0	0	1	0	0	0.30	1.00
4386	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	312317	1	0	0	0	1	0	0.30	1.00
4387	DNALI1	dynein, axonemal, light intermediate chain 1	281713	1	0	0	0	1	0	0.30	1.00
4388	ANKRD5	ankyrin repeat domain 5	771152	2	0	0	0	2	0	0.30	1.00
4389	BEND7		498934	1	0	0	0	0	1	0.30	1.00
4390	PHF20	PHD finger protein 20	1049812	2	1	0	0	1	0	0.30	1.00
4391	GOLGB1	golgin B1, golgi integral membrane protein	3306084	7	1	1	2	2	1	0.30	1.00
4392	OR11A1	olfactory receptor, family 11, subfamily A, member 1	325079	1	0	0	0	1	0	0.30	1.00
4393	GRPEL2	GrpE-like 2, mitochondrial (E. coli)	206219	1	0	0	1	0	0	0.30	1.00
4394	SLC45A4	solute carrier family 45, member 4	516583	2	1	0	1	0	0	0.30	1.00
4395	TLR6	toll-like receptor 6	670522	2	0	0	1	1	0	0.30	1.00
4396	CDK5R2	cyclin-dependent kinase 5, regulatory subunit 2 (p39)	149537	1	0	0	1	0	0	0.30	1.00
4397	KREMEN1	kringle containing transmembrane protein 1	383848	1	0	1	0	0	0	0.30	1.00
4398	TJP3	tight junction protein 3 (zona occludens 3)	474765	1	0	0	0	0	1	0.30	1.00
4399	SGOL2	shugoshin-like 2 (S. pombe)	1073812	2	0	0	2	0	0	0.30	1.00
4400	SHOX2	short stature homeobox 2	234992	1	1	0	0	0	0	0.30	1.00
4401	DPPA2	developmental pluripotency associated 2	310695	1	0	0	0	1	0	0.30	1.00
4402	ZNF274	zinc finger protein 274	505735	1	0	0	0	0	1	0.30	1.00
4403	ZNF571	zinc finger protein 571	601128	1	0	1	0	0	0	0.30	1.00
4404	OR14C36	olfactory receptor, family 14, subfamily C, member 36	314029	1	0	0	0	1	0	0.30	1.00
4405	FNDC8	fibronectin type III domain containing 8	302379	1	0	0	0	1	0	0.30	1.00
4406	CSRP1	cysteine and glycine-rich protein 1	195923	1	0	0	1	0	0	0.30	1.00
4407	CD209	CD209 molecule	408260	1	0	1	0	0	0	0.30	1.00
4408	GPATCH3	G patch domain containing 3	501190	1	0	0	0	0	1	0.30	1.00
4409	ZNF668	zinc finger protein 668	438151	1	0	0	0	0	1	0.30	1.00
4410	MAGEB4	melanoma antigen family B, 4	312025	1	0	0	0	1	0	0.30	1.00
4411	FNTB	farnesyltransferase, CAAX box, beta	458634	1	1	0	0	0	0	0.30	1.00
4412	AGAP1		802182	2	2	0	0	0	0	0.30	1.00
4413	D4S234E		175502	1	0	0	1	0	0	0.30	1.00
4414	SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B	443696	1	0	1	0	0	0	0.30	1.00
4415	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	329008	1	0	0	1	0	0	0.30	1.00
4416	ZNF564	zinc finger protein 564	489941	1	0	0	0	0	1	0.30	1.00
4417	NMBR	neuromedin B receptor	383750	1	1	0	0	0	0	0.30	1.00
4418	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	523850	1	0	0	0	0	1	0.30	1.00
4419	OR5D18	olfactory receptor, family 5, subfamily D, member 18	317384	1	0	0	0	1	0	0.30	1.00
4420	TMCC3	transmembrane and coiled-coil domain family 3	458318	1	0	1	0	0	0	0.30	1.00
4421	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	169658	1	0	0	1	0	0	0.30	1.00
4422	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4	251015	1	1	0	0	0	0	0.30	1.00
4423	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	331871	1	0	0	1	0	0	0.30	1.00
4424	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	1266634	2	0	1	0	0	1	0.30	1.00
4425	ARID1B	AT rich interactive domain 1B (SWI1-like)	888063	2	0	0	0	1	1	0.30	1.00
4426	RSRC2	arginine/serine-rich coiled-coil 2	448126	1	0	0	0	0	1	0.30	1.00
4427	BMPR1A	bone morphogenetic protein receptor, type IA	511524	1	0	1	0	0	0	0.30	1.00
4428	MOAP1	modulator of apoptosis 1	314813	1	0	0	0	1	0	0.30	1.00
4429	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	458856	1	0	0	0	0	1	0.30	1.00
4430	ASB2	ankyrin repeat and SOCS box-containing 2	417772	1	0	1	0	0	0	0.30	1.00
4431	ZNF658	zinc finger protein 658	605311	1	0	1	0	0	0	0.30	1.00
4432	SIGLEC1	sialic acid binding Ig-like lectin 1, sialoadhesin	1036664	2	0	1	0	0	1	0.30	1.00
4433	OR2C3	olfactory receptor, family 2, subfamily C, member 3	306235	1	0	0	0	1	0	0.30	1.00
4434	ZBTB10	zinc finger and BTB domain containing 10	467210	1	0	0	0	0	1	0.30	1.00
4435	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	342074	1	0	0	0	1	0	0.30	1.00
4436	ACCN3	amiloride-sensitive cation channel 3	424207	1	0	1	0	0	0	0.30	1.00
4437	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	192002	1	0	0	1	0	0	0.30	1.00
4438	KCTD3	potassium channel tetramerisation domain containing 3	802399	2	0	0	0	2	0	0.30	1.00
4439	CHD1L	chromodomain helicase DNA binding protein 1-like	902057	2	0	0	0	1	1	0.30	1.00
4440	EPM2AIP1	EPM2A (laforin) interacting protein 1	476818	1	0	0	0	0	1	0.30	1.00
4441	DSG1	desmoglein 1	1060690	3	0	0	2	1	0	0.30	1.00
4442	KLHL11	kelch-like 11 (Drosophila)	513443	1	0	1	0	0	0	0.30	1.00
4443	TTLL2	tubulin tyrosine ligase-like family, member 2	572318	1	1	0	0	0	0	0.30	1.00
4444	LAMB4	laminin, beta 4	1837077	4	0	1	3	0	0	0.30	1.00
4445	KIAA1147	KIAA1147	288622	1	0	0	0	1	0	0.30	1.00
4446	OR51I2	olfactory receptor, family 51, subfamily I, member 2	319820	1	0	0	0	1	0	0.30	1.00
4447	AMY2A	amylase, alpha 2A (pancreatic)	225725	1	0	0	1	0	0	0.30	1.00
4448	GLTSCR2	glioma tumor suppressor candidate region gene 2	183620	1	0	0	1	0	0	0.30	1.00
4449	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	254134	1	1	0	0	0	0	0.30	1.00
4450	IPCEF1		459359	1	0	1	0	0	0	0.30	1.00
4451	HPCA	hippocalcin	175551	1	0	0	1	0	0	0.30	1.00
4452	OR11L1	olfactory receptor, family 11, subfamily L, member 1	318568	1	0	0	0	1	0	0.30	1.00
4453	HNF4G	hepatocyte nuclear factor 4, gamma	467118	1	0	1	0	0	0	0.30	1.00
4454	HORMAD1	HORMA domain containing 1	364054	1	0	0	1	0	0	0.30	1.00
4455	HERC6	hect domain and RLD 6	730051	1	1	0	0	0	0	0.30	1.00
4456	C1orf107	chromosome 1 open reading frame 107	775982	2	0	0	1	0	1	0.30	1.00
4457	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	490846	1	0	0	0	0	1	0.30	1.00
4458	C10orf54	chromosome 10 open reading frame 54	185132	1	0	0	1	0	0	0.31	1.00
4459	KY	kyphoscoliosis peptidase	559416	1	1	0	0	0	0	0.31	1.00
4460	TSPAN13	tetraspanin 13	206946	1	0	0	1	0	0	0.31	1.00
4461	C19orf18	chromosome 19 open reading frame 18	216713	1	0	0	1	0	0	0.31	1.00
4462	OR2K2	olfactory receptor, family 2, subfamily K, member 2	316064	1	0	0	0	1	0	0.31	1.00
4463	PARS2	prolyl-tRNA synthetase 2, mitochondrial (putative)	482721	1	0	0	0	0	1	0.31	1.00
4464	USP24	ubiquitin specific peptidase 24	2024541	5	0	0	2	3	0	0.31	1.00
4465	ESRRG	estrogen-related receptor gamma	483364	1	1	0	0	0	0	0.31	1.00
4466	C12orf60	chromosome 12 open reading frame 60	244059	1	0	0	0	1	0	0.31	1.00
4467	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	908639	2	0	0	0	1	1	0.31	1.00
4468	GCLM	glutamate-cysteine ligase, modifier subunit	237945	1	0	0	0	1	0	0.31	1.00
4469	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	412048	1	1	0	0	0	0	0.31	1.00
4470	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	941699	3	1	0	1	1	0	0.31	1.00
4471	NDUFAF1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	312389	1	0	0	0	1	0	0.31	1.00
4472	FKBP7	FK506 binding protein 7	222446	1	0	0	0	1	0	0.31	1.00
4473	F13A1	coagulation factor XIII, A1 polypeptide	780225	2	1	0	1	0	0	0.31	1.00
4474	MYO18A	myosin XVIIIA	1404085	4	1	0	3	0	0	0.31	1.00
4475	UGT2A2	UDP glucuronosyltransferase 2 family, polypeptide A2	501542	1	0	0	0	0	1	0.31	1.00
4476	SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	325955	1	0	0	0	1	0	0.31	1.00
4477	SGK269		1610924	2	0	2	0	0	0	0.31	1.00
4478	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	1243615	2	1	0	0	0	1	0.31	1.00
4479	C1orf226		205771	1	0	0	1	0	0	0.31	1.00
4480	ZBTB47	zinc finger and BTB domain containing 47	186984	1	0	0	1	0	0	0.31	1.00
4481	LOC441294		229309	1	0	0	0	1	0	0.31	1.00
4482	GPR133	G protein-coupled receptor 133	846278	2	0	1	0	1	0	0.31	1.00
4483	ECSIT	ECSIT homolog (Drosophila)	350581	1	0	0	0	1	0	0.31	1.00
4484	DTD1	D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)	203783	1	0	0	1	0	0	0.31	1.00
4485	MAGEE2	melanoma antigen family E, 2	512649	1	0	0	0	0	1	0.31	1.00
4486	OR6Y1	olfactory receptor, family 6, subfamily Y, member 1	335612	1	0	0	0	1	0	0.31	1.00
4487	KRT71	keratin 71	522225	1	0	0	0	0	1	0.31	1.00
4488	PCDHA13	protocadherin alpha 13	791408	2	1	1	0	0	0	0.31	1.00
4489	E2F5	E2F transcription factor 5, p130-binding	238217	1	0	0	0	1	0	0.31	1.00
4490	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	687249	1	1	0	0	0	0	0.31	1.00
4491	SDCBP2	syndecan binding protein (syntenin) 2	199803	1	0	0	1	0	0	0.31	1.00
4492	KRTAP5-3	keratin associated protein 5-3	210026	1	0	0	1	0	0	0.31	1.00
4493	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	437014	1	0	1	0	0	0	0.31	1.00
4494	NEFL	neurofilament, light polypeptide 68kDa	343375	1	0	0	0	1	0	0.31	1.00
4495	C20orf43	chromosome 20 open reading frame 43	304231	1	0	0	0	1	0	0.31	1.00
4496	PRKD2	protein kinase D2	723798	2	0	0	1	0	1	0.31	1.00
4497	HUWE1	HECT, UBA and WWE domain containing 1	4471023	11	0	2	3	4	2	0.31	1.00
4498	ZFP161	zinc finger protein 161 homolog (mouse)	428910	1	0	1	0	0	0	0.31	1.00
4499	COQ10A	coenzyme Q10 homolog A (S. cerevisiae)	203897	1	0	0	1	0	0	0.31	1.00
4500	KCNQ3	potassium voltage-gated channel, KQT-like subfamily, member 3	788974	2	0	0	1	0	1	0.31	1.00
4501	AFTPH	aftiphilin	938379	2	0	1	0	1	0	0.31	1.00
4502	NAB2	NGFI-A binding protein 2 (EGR1 binding protein 2)	373998	1	0	1	0	0	0	0.31	1.00
4503	SGSM1	small G protein signaling modulator 1	943770	2	1	0	0	0	1	0.31	1.00
4504	FTMT	ferritin mitochondrial	184168	1	0	0	1	0	0	0.31	1.00
4505	GBA	glucosidase, beta; acid (includes glucosylceramidase)	480369	1	0	0	0	0	1	0.31	1.00
4506	IL1RN	interleukin 1 receptor antagonist	212753	1	0	0	1	0	0	0.31	1.00
4507	SART1	squamous cell carcinoma antigen recognized by T cells	350033	1	0	0	0	1	0	0.31	1.00
4508	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	2878981	6	0	2	1	3	0	0.31	1.00
4509	OR4D6	olfactory receptor, family 4, subfamily D, member 6	325464	1	0	0	0	1	0	0.31	1.00
4510	FADS6	fatty acid desaturase domain family, member 6	191450	1	0	0	1	0	0	0.31	1.00
4511	PAX9	paired box 9	251611	1	1	0	0	0	0	0.31	1.00
4512	ETV1	ets variant gene 1	441443	1	0	1	0	0	0	0.31	1.00
4513	ISYNA1		172690	1	0	0	1	0	0	0.31	1.00
4514	HSPG2	heparan sulfate proteoglycan 2	2804149	7	0	2	3	2	0	0.31	1.00
4515	MDFIC	MyoD family inhibitor domain containing	221948	1	0	0	1	0	0	0.31	1.00
4516	TRIP10	thyroid hormone receptor interactor 10	446333	1	0	1	0	0	0	0.31	1.00
4517	KIAA0415	KIAA0415	184347	1	0	0	1	0	0	0.31	1.00
4518	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	1056539	3	0	0	2	1	0	0.31	1.00
4519	CCDC76	coiled-coil domain containing 76	480824	1	0	0	0	0	1	0.31	1.00
4520	WDR35	WD repeat domain 35	1175522	2	1	0	1	0	0	0.31	1.00
4521	OR5T2	olfactory receptor, family 5, subfamily T, member 2	362975	1	0	0	1	0	0	0.31	1.00
4522	ZMYND10	zinc finger, MYND-type containing 10	326511	1	0	0	0	1	0	0.31	1.00
4523	DCBLD2	discoidin, CUB and LCCL domain containing 2	651829	2	0	0	1	1	0	0.31	1.00
4524	AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	333340	1	0	0	0	1	0	0.31	1.00
4525	FMNL3	formin-like 3	890171	2	1	0	0	1	0	0.31	1.00
4526	KIAA1683	KIAA1683	843049	2	0	1	0	1	0	0.31	1.00
4527	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6	943791	2	0	0	0	1	1	0.31	1.00
4528	FBXO30	F-box protein 30	757331	1	1	0	0	0	0	0.31	1.00
4529	DPT	dermatopontin	208921	1	0	0	1	0	0	0.31	1.00
4530	SLC2A13	solute carrier family 2 (facilitated glucose transporter), member 13	484742	1	0	0	0	0	1	0.31	1.00
4531	KCNK3	potassium channel, subfamily K, member 3	225344	1	0	0	1	0	0	0.31	1.00
4532	FBXO27	F-box protein 27	186847	1	0	0	1	0	0	0.31	1.00
4533	IL10RB	interleukin 10 receptor, beta	319614	1	0	0	0	1	0	0.31	1.00
4534	C8A	complement component 8, alpha polypeptide	606383	1	1	0	0	0	0	0.31	1.00
4535	NPIPL3		194441	1	0	0	1	0	0	0.31	1.00
4536	FAM155B	family with sequence similarity 155, member B	283918	1	0	0	0	1	0	0.31	1.00
4537	CCDC155		393053	1	0	1	0	0	0	0.31	1.00
4538	CENPO	centromere protein O	318022	1	0	0	0	1	0	0.31	1.00
4539	TRDMT1	tRNA aspartic acid methyltransferase 1	346813	1	0	0	1	0	0	0.31	1.00
4540	PCDHA11	protocadherin alpha 11	584469	2	0	0	1	1	0	0.31	1.00
4541	GPR34	G protein-coupled receptor 34	354266	1	0	0	1	0	0	0.31	1.00
4542	APH1A	anterior pharynx defective 1 homolog A (C. elegans)	205051	1	0	0	1	0	0	0.31	1.00
